,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"channel_contribution[2022-01-09T00:00:00.000000000, tv_spend]",0.012,0.009,0.0,0.027,0.0,0.0,1426.468,1122.98,1.0
"channel_contribution[2022-01-09T00:00:00.000000000, digital_spend]",0.012,0.01,0.0,0.027,0.0,0.0,1487.782,833.843,1.0
"channel_contribution[2022-01-09T00:00:00.000000000, social_spend]",0.014,0.012,0.0,0.031,0.0,0.0,820.455,850.001,1.001
"channel_contribution[2022-01-09T00:00:00.000000000, search_spend]",0.021,0.011,0.002,0.04,0.0,0.0,1346.425,1078.725,1.0
"channel_contribution[2022-01-09T00:00:00.000000000, radio_spend]",0.003,0.003,0.0,0.008,0.0,0.0,1542.367,1188.369,1.0
"channel_contribution[2022-01-16T00:00:00.000000000, tv_spend]",0.013,0.01,0.0,0.029,0.0,0.0,1412.204,1154.942,1.0
"channel_contribution[2022-01-16T00:00:00.000000000, digital_spend]",0.011,0.01,0.0,0.026,0.0,0.0,1507.733,866.962,0.999
"channel_contribution[2022-01-16T00:00:00.000000000, social_spend]",0.014,0.013,0.0,0.034,0.0,0.0,804.759,825.908,1.0
"channel_contribution[2022-01-16T00:00:00.000000000, search_spend]",0.018,0.011,0.0,0.035,0.0,0.0,1138.132,1002.395,1.0
"channel_contribution[2022-01-16T00:00:00.000000000, radio_spend]",0.003,0.002,0.0,0.007,0.0,0.0,1554.234,1173.739,1.0
"channel_contribution[2022-01-23T00:00:00.000000000, tv_spend]",0.013,0.01,0.0,0.03,0.0,0.0,1408.645,1154.942,1.001
"channel_contribution[2022-01-23T00:00:00.000000000, digital_spend]",0.018,0.014,0.0,0.042,0.0,0.0,1489.994,815.152,0.999
"channel_contribution[2022-01-23T00:00:00.000000000, social_spend]",0.019,0.015,0.0,0.043,0.0,0.0,815.103,835.324,1.001
"channel_contribution[2022-01-23T00:00:00.000000000, search_spend]",0.024,0.013,0.0,0.046,0.0,0.0,1229.199,1019.157,1.0
"channel_contribution[2022-01-23T00:00:00.000000000, radio_spend]",0.005,0.004,0.0,0.013,0.0,0.0,1583.879,1152.766,1.0
"channel_contribution[2022-01-30T00:00:00.000000000, tv_spend]",0.024,0.016,0.0,0.052,0.0,0.0,1384.352,1061.583,1.001
"channel_contribution[2022-01-30T00:00:00.000000000, digital_spend]",0.016,0.013,0.0,0.037,0.0,0.0,1505.867,821.541,0.999
"channel_contribution[2022-01-30T00:00:00.000000000, social_spend]",0.014,0.014,0.0,0.036,0.0,0.0,825.897,774.49,1.0
"channel_contribution[2022-01-30T00:00:00.000000000, search_spend]",0.035,0.019,0.0,0.066,0.001,0.0,1220.006,967.008,1.0
"channel_contribution[2022-01-30T00:00:00.000000000, radio_spend]",0.003,0.003,0.0,0.008,0.0,0.0,1526.54,1173.616,1.001
"channel_contribution[2022-02-06T00:00:00.000000000, tv_spend]",0.022,0.017,0.0,0.051,0.0,0.0,1352.013,1113.872,1.0
"channel_contribution[2022-02-06T00:00:00.000000000, digital_spend]",0.01,0.01,0.0,0.025,0.0,0.0,1562.698,907.124,0.999
"channel_contribution[2022-02-06T00:00:00.000000000, social_spend]",0.016,0.015,0.0,0.039,0.0,0.0,849.965,846.688,1.001
"channel_contribution[2022-02-06T00:00:00.000000000, search_spend]",0.035,0.021,0.0,0.07,0.001,0.0,1150.824,1014.855,1.0
"channel_contribution[2022-02-06T00:00:00.000000000, radio_spend]",0.009,0.007,0.0,0.022,0.0,0.0,1542.209,1146.184,1.0
"channel_contribution[2022-02-13T00:00:00.000000000, tv_spend]",0.016,0.015,0.0,0.043,0.0,0.0,1353.064,1123.981,1.001
"channel_contribution[2022-02-13T00:00:00.000000000, digital_spend]",0.007,0.008,0.0,0.019,0.0,0.0,1577.278,918.852,0.999
"channel_contribution[2022-02-13T00:00:00.000000000, social_spend]",0.021,0.017,0.0,0.047,0.0,0.0,839.871,835.324,1.001
"channel_contribution[2022-02-13T00:00:00.000000000, search_spend]",0.03,0.021,0.0,0.066,0.001,0.0,1132.812,1060.085,1.0
"channel_contribution[2022-02-13T00:00:00.000000000, radio_spend]",0.008,0.007,0.0,0.02,0.0,0.0,1512.156,1203.391,1.0
"channel_contribution[2022-02-20T00:00:00.000000000, tv_spend]",0.019,0.016,0.0,0.047,0.0,0.0,1367.936,1126.631,1.001
"channel_contribution[2022-02-20T00:00:00.000000000, digital_spend]",0.013,0.011,0.0,0.03,0.0,0.0,1521.254,813.589,0.999
"channel_contribution[2022-02-20T00:00:00.000000000, social_spend]",0.021,0.017,0.0,0.049,0.0,0.0,836.666,846.688,1.001
"channel_contribution[2022-02-20T00:00:00.000000000, search_spend]",0.031,0.021,0.0,0.069,0.001,0.0,1183.434,1042.178,1.0
"channel_contribution[2022-02-20T00:00:00.000000000, radio_spend]",0.007,0.006,0.0,0.019,0.0,0.0,1532.175,1159.564,1.0
"channel_contribution[2022-02-27T00:00:00.000000000, tv_spend]",0.018,0.015,0.0,0.044,0.0,0.0,1366.13,1181.013,1.001
"channel_contribution[2022-02-27T00:00:00.000000000, digital_spend]",0.011,0.01,0.0,0.026,0.0,0.0,1535.021,870.524,0.999
"channel_contribution[2022-02-27T00:00:00.000000000, social_spend]",0.02,0.017,0.0,0.048,0.0,0.0,841.781,848.012,1.001
"channel_contribution[2022-02-27T00:00:00.000000000, search_spend]",0.026,0.02,0.0,0.061,0.001,0.0,1160.463,1061.65,1.0
"channel_contribution[2022-02-27T00:00:00.000000000, radio_spend]",0.01,0.008,0.0,0.025,0.0,0.0,1514.776,1173.66,1.0
"channel_contribution[2022-03-06T00:00:00.000000000, tv_spend]",0.01,0.013,0.0,0.034,0.0,0.0,1350.79,1228.112,1.0
"channel_contribution[2022-03-06T00:00:00.000000000, digital_spend]",0.014,0.012,0.0,0.034,0.0,0.0,1516.41,820.864,0.999
"channel_contribution[2022-03-06T00:00:00.000000000, social_spend]",0.02,0.017,0.0,0.047,0.0,0.0,849.779,848.012,1.001
"channel_contribution[2022-03-06T00:00:00.000000000, search_spend]",0.026,0.018,0.0,0.058,0.0,0.0,1211.273,1030.872,1.0
"channel_contribution[2022-03-06T00:00:00.000000000, radio_spend]",0.004,0.005,0.0,0.013,0.0,0.0,1508.9,1319.843,1.0
"channel_contribution[2022-03-13T00:00:00.000000000, tv_spend]",0.01,0.011,0.0,0.029,0.0,0.0,1387.423,1170.788,1.001
"channel_contribution[2022-03-13T00:00:00.000000000, digital_spend]",0.014,0.012,0.0,0.033,0.0,0.0,1519.313,835.987,0.999
"channel_contribution[2022-03-13T00:00:00.000000000, social_spend]",0.023,0.018,0.0,0.052,0.001,0.0,841.543,858.611,1.0
"channel_contribution[2022-03-13T00:00:00.000000000, search_spend]",0.025,0.018,0.0,0.056,0.0,0.0,1208.21,1059.611,1.0
"channel_contribution[2022-03-13T00:00:00.000000000, radio_spend]",0.003,0.004,0.0,0.009,0.0,0.0,1692.593,1203.56,1.001
"channel_contribution[2022-03-20T00:00:00.000000000, tv_spend]",0.015,0.012,0.0,0.036,0.0,0.0,1399.964,1126.631,1.001
"channel_contribution[2022-03-20T00:00:00.000000000, digital_spend]",0.012,0.011,0.0,0.029,0.0,0.0,1534.819,879.399,0.999
"channel_contribution[2022-03-20T00:00:00.000000000, social_spend]",0.036,0.022,0.0,0.074,0.001,0.001,793.279,913.819,1.002
"channel_contribution[2022-03-20T00:00:00.000000000, search_spend]",0.027,0.017,0.0,0.058,0.0,0.0,1237.44,1019.429,1.0
"channel_contribution[2022-03-20T00:00:00.000000000, radio_spend]",0.007,0.006,0.0,0.017,0.0,0.0,1608.491,1145.194,1.0
"channel_contribution[2022-03-27T00:00:00.000000000, tv_spend]",0.024,0.017,0.0,0.051,0.0,0.0,1367.737,1063.182,1.001
"channel_contribution[2022-03-27T00:00:00.000000000, digital_spend]",0.008,0.009,0.0,0.021,0.0,0.0,1559.254,914.699,0.999
"channel_contribution[2022-03-27T00:00:00.000000000, social_spend]",0.025,0.021,0.0,0.06,0.001,0.0,831.25,880.367,1.0
"channel_contribution[2022-03-27T00:00:00.000000000, search_spend]",0.022,0.015,0.0,0.049,0.0,0.0,1178.381,1048.95,1.0
"channel_contribution[2022-03-27T00:00:00.000000000, radio_spend]",0.004,0.004,0.0,0.011,0.0,0.0,1571.297,1173.594,1.001
"channel_contribution[2022-04-03T00:00:00.000000000, tv_spend]",0.017,0.015,0.0,0.043,0.0,0.0,1357.855,1184.383,1.001
"channel_contribution[2022-04-03T00:00:00.000000000, digital_spend]",0.006,0.007,0.0,0.015,0.0,0.0,1587.453,901.421,0.999
"channel_contribution[2022-04-03T00:00:00.000000000, social_spend]",0.037,0.023,0.0,0.077,0.001,0.001,811.419,931.801,1.001
"channel_contribution[2022-04-03T00:00:00.000000000, search_spend]",0.025,0.016,0.0,0.052,0.0,0.0,1230.574,1019.419,1.0
"channel_contribution[2022-04-03T00:00:00.000000000, radio_spend]",0.004,0.004,0.0,0.01,0.0,0.0,1615.333,1173.188,1.001
"channel_contribution[2022-04-10T00:00:00.000000000, tv_spend]",0.014,0.013,0.0,0.037,0.0,0.0,1372.701,1169.654,1.001
"channel_contribution[2022-04-10T00:00:00.000000000, digital_spend]",0.011,0.009,0.0,0.026,0.0,0.0,1517.918,843.848,0.999
"channel_contribution[2022-04-10T00:00:00.000000000, social_spend]",0.026,0.022,0.0,0.063,0.001,0.0,845.338,880.367,1.0
"channel_contribution[2022-04-10T00:00:00.000000000, search_spend]",0.022,0.015,0.0,0.049,0.0,0.0,1172.689,1031.38,1.0
"channel_contribution[2022-04-10T00:00:00.000000000, radio_spend]",0.002,0.003,0.0,0.006,0.0,0.0,1637.919,1234.592,1.0
"channel_contribution[2022-04-17T00:00:00.000000000, tv_spend]",0.016,0.013,0.0,0.039,0.0,0.0,1388.944,1166.264,1.001
"channel_contribution[2022-04-17T00:00:00.000000000, digital_spend]",0.007,0.007,0.0,0.017,0.0,0.0,1558.889,918.687,0.999
"channel_contribution[2022-04-17T00:00:00.000000000, social_spend]",0.016,0.019,0.0,0.048,0.0,0.0,913.035,924.423,1.001
"channel_contribution[2022-04-17T00:00:00.000000000, search_spend]",0.029,0.017,0.0,0.058,0.0,0.0,1243.436,1019.157,1.0
"channel_contribution[2022-04-17T00:00:00.000000000, radio_spend]",0.002,0.002,0.0,0.006,0.0,0.0,1653.329,1187.853,1.001
"channel_contribution[2022-04-24T00:00:00.000000000, tv_spend]",0.013,0.012,0.0,0.033,0.0,0.0,1380.242,1169.654,1.001
"channel_contribution[2022-04-24T00:00:00.000000000, digital_spend]",0.007,0.007,0.0,0.017,0.0,0.0,1546.586,871.127,0.999
"channel_contribution[2022-04-24T00:00:00.000000000, social_spend]",0.016,0.017,0.0,0.043,0.0,0.0,926.31,831.495,1.0
"channel_contribution[2022-04-24T00:00:00.000000000, search_spend]",0.025,0.017,0.0,0.055,0.0,0.0,1158.98,1025.156,1.0
"channel_contribution[2022-04-24T00:00:00.000000000, radio_spend]",0.009,0.007,0.0,0.021,0.0,0.0,1549.471,1119.317,1.0
"channel_contribution[2022-05-01T00:00:00.000000000, tv_spend]",0.013,0.012,0.0,0.033,0.0,0.0,1389.689,1181.526,1.001
"channel_contribution[2022-05-01T00:00:00.000000000, digital_spend]",0.011,0.009,0.0,0.025,0.0,0.0,1517.689,843.848,0.999
"channel_contribution[2022-05-01T00:00:00.000000000, social_spend]",0.02,0.017,0.0,0.049,0.0,0.0,897.634,906.445,1.001
"channel_contribution[2022-05-01T00:00:00.000000000, search_spend]",0.018,0.015,0.0,0.044,0.0,0.0,1106.714,911.793,1.0
"channel_contribution[2022-05-01T00:00:00.000000000, radio_spend]",0.008,0.007,0.0,0.02,0.0,0.0,1509.74,1203.391,1.0
"channel_contribution[2022-05-08T00:00:00.000000000, tv_spend]",0.015,0.012,0.0,0.035,0.0,0.0,1392.808,1126.631,1.001
"channel_contribution[2022-05-08T00:00:00.000000000, digital_spend]",0.011,0.01,0.0,0.026,0.0,0.0,1522.935,835.766,0.999
"channel_contribution[2022-05-08T00:00:00.000000000, social_spend]",0.033,0.022,0.0,0.07,0.001,0.0,814.525,941.383,1.001
"channel_contribution[2022-05-08T00:00:00.000000000, search_spend]",0.016,0.013,0.0,0.039,0.0,0.0,1201.39,1104.784,1.0
"channel_contribution[2022-05-08T00:00:00.000000000, radio_spend]",0.007,0.006,0.0,0.018,0.0,0.0,1530.028,1159.564,1.0
"channel_contribution[2022-05-15T00:00:00.000000000, tv_spend]",0.011,0.011,0.0,0.029,0.0,0.0,1374.281,1169.802,1.001
"channel_contribution[2022-05-15T00:00:00.000000000, digital_spend]",0.007,0.008,0.0,0.018,0.0,0.0,1555.778,914.699,0.999
"channel_contribution[2022-05-15T00:00:00.000000000, social_spend]",0.022,0.02,0.0,0.055,0.001,0.0,836.005,855.418,1.0
"channel_contribution[2022-05-15T00:00:00.000000000, search_spend]",0.019,0.012,0.0,0.04,0.0,0.0,1285.428,1029.924,1.0
"channel_contribution[2022-05-15T00:00:00.000000000, radio_spend]",0.005,0.005,0.0,0.013,0.0,0.0,1560.381,1173.594,1.001
"channel_contribution[2022-05-22T00:00:00.000000000, tv_spend]",0.018,0.014,0.0,0.041,0.0,0.0,1398.325,1126.631,1.001
"channel_contribution[2022-05-22T00:00:00.000000000, digital_spend]",0.016,0.012,0.0,0.036,0.0,0.0,1504.701,815.152,0.999
"channel_contribution[2022-05-22T00:00:00.000000000, social_spend]",0.024,0.019,0.0,0.056,0.001,0.0,853.241,848.795,1.0
"channel_contribution[2022-05-22T00:00:00.000000000, search_spend]",0.035,0.018,0.0,0.065,0.0,0.0,1274.896,1048.392,1.0
"channel_contribution[2022-05-22T00:00:00.000000000, radio_spend]",0.006,0.005,0.0,0.015,0.0,0.0,1591.397,1203.206,1.0
"channel_contribution[2022-05-29T00:00:00.000000000, tv_spend]",0.011,0.011,0.0,0.03,0.0,0.0,1361.134,1098.004,1.0
"channel_contribution[2022-05-29T00:00:00.000000000, digital_spend]",0.017,0.013,0.0,0.039,0.0,0.0,1504.967,820.864,0.999
"channel_contribution[2022-05-29T00:00:00.000000000, social_spend]",0.016,0.016,0.0,0.042,0.0,0.0,860.194,819.228,1.0
"channel_contribution[2022-05-29T00:00:00.000000000, search_spend]",0.035,0.02,0.0,0.07,0.001,0.0,1171.354,998.843,1.0
"channel_contribution[2022-05-29T00:00:00.000000000, radio_spend]",0.01,0.008,0.0,0.025,0.0,0.0,1518.321,1187.861,1.0
"channel_contribution[2022-06-05T00:00:00.000000000, tv_spend]",0.009,0.01,0.0,0.026,0.0,0.0,1378.402,1154.487,1.001
"channel_contribution[2022-06-05T00:00:00.000000000, digital_spend]",0.015,0.012,0.0,0.035,0.0,0.0,1517.285,847.249,0.999
"channel_contribution[2022-06-05T00:00:00.000000000, social_spend]",0.032,0.021,0.0,0.068,0.001,0.0,816.872,931.801,1.001
"channel_contribution[2022-06-05T00:00:00.000000000, search_spend]",0.024,0.018,0.0,0.056,0.001,0.0,1070.628,905.002,1.0
"channel_contribution[2022-06-05T00:00:00.000000000, radio_spend]",0.005,0.006,0.0,0.015,0.0,0.0,1512.883,1218.589,1.001
"channel_contribution[2022-06-12T00:00:00.000000000, tv_spend]",0.014,0.011,0.0,0.033,0.0,0.0,1412.595,1126.631,1.001
"channel_contribution[2022-06-12T00:00:00.000000000, digital_spend]",0.015,0.012,0.0,0.035,0.0,0.0,1522.397,847.249,0.999
"channel_contribution[2022-06-12T00:00:00.000000000, social_spend]",0.032,0.022,0.0,0.07,0.001,0.0,808.791,937.675,1.001
"channel_contribution[2022-06-12T00:00:00.000000000, search_spend]",0.018,0.015,0.0,0.045,0.0,0.0,1128.529,1163.178,1.0
"channel_contribution[2022-06-12T00:00:00.000000000, radio_spend]",0.006,0.005,0.0,0.015,0.0,0.0,1589.402,1188.189,1.0
"channel_contribution[2022-06-19T00:00:00.000000000, tv_spend]",0.019,0.014,0.0,0.042,0.0,0.0,1389.444,1126.631,1.0
"channel_contribution[2022-06-19T00:00:00.000000000, digital_spend]",0.015,0.012,0.0,0.035,0.0,0.0,1523.276,843.402,0.999
"channel_contribution[2022-06-19T00:00:00.000000000, social_spend]",0.024,0.021,0.0,0.059,0.001,0.0,854.819,857.899,1.0
"channel_contribution[2022-06-19T00:00:00.000000000, search_spend]",0.03,0.017,0.0,0.06,0.0,0.0,1283.609,1052.904,1.0
"channel_contribution[2022-06-19T00:00:00.000000000, radio_spend]",0.013,0.01,0.0,0.032,0.0,0.0,1469.597,1189.486,1.0
"channel_contribution[2022-06-26T00:00:00.000000000, tv_spend]",0.017,0.014,0.0,0.041,0.0,0.0,1375.405,1156.099,1.001
"channel_contribution[2022-06-26T00:00:00.000000000, digital_spend]",0.017,0.013,0.0,0.039,0.0,0.0,1515.443,820.864,0.999
"channel_contribution[2022-06-26T00:00:00.000000000, social_spend]",0.031,0.022,0.0,0.068,0.001,0.0,835.638,936.967,1.001
"channel_contribution[2022-06-26T00:00:00.000000000, search_spend]",0.032,0.02,0.0,0.066,0.001,0.0,1205.159,1041.767,1.0
"channel_contribution[2022-06-26T00:00:00.000000000, radio_spend]",0.011,0.009,0.0,0.027,0.0,0.0,1467.401,1209.33,1.0
"channel_contribution[2022-07-03T00:00:00.000000000, tv_spend]",0.015,0.013,0.0,0.038,0.0,0.0,1384.503,1181.013,1.001
"channel_contribution[2022-07-03T00:00:00.000000000, digital_spend]",0.016,0.013,0.0,0.037,0.0,0.0,1520.312,835.987,0.999
"channel_contribution[2022-07-03T00:00:00.000000000, social_spend]",0.024,0.02,0.0,0.058,0.001,0.0,848.503,845.965,1.0
"channel_contribution[2022-07-03T00:00:00.000000000, search_spend]",0.049,0.027,0.0,0.094,0.001,0.001,1180.557,958.816,1.0
"channel_contribution[2022-07-03T00:00:00.000000000, radio_spend]",0.006,0.006,0.0,0.018,0.0,0.0,1536.362,1234.281,1.001
"channel_contribution[2022-07-10T00:00:00.000000000, tv_spend]",0.014,0.013,0.0,0.036,0.0,0.0,1384.819,1170.298,1.001
"channel_contribution[2022-07-10T00:00:00.000000000, digital_spend]",0.01,0.01,0.0,0.025,0.0,0.0,1569.816,915.165,0.999
"channel_contribution[2022-07-10T00:00:00.000000000, social_spend]",0.03,0.021,0.0,0.067,0.001,0.0,837.576,936.967,1.0
"channel_contribution[2022-07-10T00:00:00.000000000, search_spend]",0.038,0.026,0.0,0.083,0.001,0.001,1100.828,1003.436,1.0
"channel_contribution[2022-07-10T00:00:00.000000000, radio_spend]",0.008,0.007,0.0,0.021,0.0,0.0,1557.731,1250.57,1.0
"channel_contribution[2022-07-17T00:00:00.000000000, tv_spend]",0.013,0.012,0.0,0.033,0.0,0.0,1390.781,1170.298,1.001
"channel_contribution[2022-07-17T00:00:00.000000000, digital_spend]",0.01,0.01,0.0,0.025,0.0,0.0,1543.092,870.524,0.999
"channel_contribution[2022-07-17T00:00:00.000000000, social_spend]",0.025,0.02,0.0,0.059,0.001,0.0,853.864,845.965,1.0
"channel_contribution[2022-07-17T00:00:00.000000000, search_spend]",0.029,0.022,0.0,0.068,0.001,0.0,1119.227,1036.359,1.0
"channel_contribution[2022-07-17T00:00:00.000000000, radio_spend]",0.004,0.005,0.0,0.012,0.0,0.0,1589.395,1250.205,1.0
"channel_contribution[2022-07-24T00:00:00.000000000, tv_spend]",0.021,0.015,0.0,0.046,0.0,0.0,1378.753,1086.631,1.001
"channel_contribution[2022-07-24T00:00:00.000000000, digital_spend]",0.023,0.017,0.0,0.052,0.0,0.0,1484.497,797.726,0.999
"channel_contribution[2022-07-24T00:00:00.000000000, social_spend]",0.023,0.02,0.0,0.055,0.001,0.0,875.993,763.906,1.0
"channel_contribution[2022-07-24T00:00:00.000000000, search_spend]",0.028,0.02,0.0,0.063,0.001,0.0,1179.119,1083.452,1.0
"channel_contribution[2022-07-24T00:00:00.000000000, radio_spend]",0.005,0.005,0.0,0.013,0.0,0.0,1624.131,1234.128,1.0
"channel_contribution[2022-07-31T00:00:00.000000000, tv_spend]",0.019,0.015,0.0,0.045,0.0,0.0,1362.871,1156.099,1.001
"channel_contribution[2022-07-31T00:00:00.000000000, digital_spend]",0.01,0.011,0.0,0.027,0.0,0.0,1569.857,941.064,1.0
"channel_contribution[2022-07-31T00:00:00.000000000, social_spend]",0.019,0.018,0.0,0.047,0.0,0.0,879.764,788.75,1.0
"channel_contribution[2022-07-31T00:00:00.000000000, search_spend]",0.025,0.019,0.0,0.06,0.0,0.0,1183.786,1072.626,1.0
"channel_contribution[2022-07-31T00:00:00.000000000, radio_spend]",0.008,0.007,0.0,0.019,0.0,0.0,1571.676,1173.195,1.0
"channel_contribution[2022-08-07T00:00:00.000000000, tv_spend]",0.015,0.014,0.0,0.039,0.0,0.0,1367.219,1169.802,1.001
"channel_contribution[2022-08-07T00:00:00.000000000, digital_spend]",0.01,0.009,0.0,0.024,0.0,0.0,1560.48,909.357,0.999
"channel_contribution[2022-08-07T00:00:00.000000000, social_spend]",0.023,0.019,0.0,0.054,0.001,0.0,861.972,924.796,1.001
"channel_contribution[2022-08-07T00:00:00.000000000, search_spend]",0.033,0.021,0.0,0.07,0.001,0.0,1252.784,1058.896,1.0
"channel_contribution[2022-08-07T00:00:00.000000000, radio_spend]",0.008,0.007,0.0,0.019,0.0,0.0,1545.086,1218.551,1.0
"channel_contribution[2022-08-14T00:00:00.000000000, tv_spend]",0.013,0.012,0.0,0.034,0.0,0.0,1378.313,1169.654,1.001
"channel_contribution[2022-08-14T00:00:00.000000000, digital_spend]",0.016,0.013,0.0,0.038,0.0,0.0,1514.538,821.328,0.999
"channel_contribution[2022-08-14T00:00:00.000000000, social_spend]",0.022,0.018,0.0,0.052,0.001,0.0,854.49,848.012,1.001
"channel_contribution[2022-08-14T00:00:00.000000000, search_spend]",0.027,0.019,0.0,0.061,0.001,0.0,1166.267,1025.739,1.0
"channel_contribution[2022-08-14T00:00:00.000000000, radio_spend]",0.009,0.007,0.0,0.021,0.0,0.0,1533.249,1218.551,1.0
"channel_contribution[2022-08-21T00:00:00.000000000, tv_spend]",0.018,0.014,0.0,0.041,0.0,0.0,1389.701,1126.631,1.001
"channel_contribution[2022-08-21T00:00:00.000000000, digital_spend]",0.01,0.01,0.0,0.025,0.0,0.0,1555.305,915.498,0.999
"channel_contribution[2022-08-21T00:00:00.000000000, social_spend]",0.024,0.019,0.0,0.055,0.001,0.0,844.747,903.5,1.0
"channel_contribution[2022-08-21T00:00:00.000000000, search_spend]",0.024,0.018,0.0,0.056,0.0,0.0,1197.422,1059.611,1.0
"channel_contribution[2022-08-21T00:00:00.000000000, radio_spend]",0.01,0.008,0.0,0.024,0.0,0.0,1513.321,1188.205,1.0
"channel_contribution[2022-08-28T00:00:00.000000000, tv_spend]",0.022,0.016,0.0,0.049,0.0,0.0,1362.62,1086.631,1.001
"channel_contribution[2022-08-28T00:00:00.000000000, digital_spend]",0.014,0.012,0.0,0.033,0.0,0.0,1519.762,813.589,0.999
"channel_contribution[2022-08-28T00:00:00.000000000, social_spend]",0.015,0.016,0.0,0.04,0.0,0.0,867.641,819.228,1.0
"channel_contribution[2022-08-28T00:00:00.000000000, search_spend]",0.018,0.013,0.0,0.042,0.0,0.0,1153.922,1085.916,1.0
"channel_contribution[2022-08-28T00:00:00.000000000, radio_spend]",0.009,0.007,0.0,0.022,0.0,0.0,1516.541,1173.812,1.0
"channel_contribution[2022-09-04T00:00:00.000000000, tv_spend]",0.023,0.017,0.0,0.053,0.0,0.0,1349.051,1086.631,1.0
"channel_contribution[2022-09-04T00:00:00.000000000, digital_spend]",0.012,0.011,0.0,0.03,0.0,0.0,1533.451,843.402,0.999
"channel_contribution[2022-09-04T00:00:00.000000000, social_spend]",0.027,0.019,0.0,0.059,0.001,0.0,831.827,907.877,1.001
"channel_contribution[2022-09-04T00:00:00.000000000, search_spend]",0.026,0.015,0.0,0.052,0.0,0.0,1282.194,1059.073,1.0
"channel_contribution[2022-09-04T00:00:00.000000000, radio_spend]",0.008,0.007,0.0,0.021,0.0,0.0,1533.251,1218.828,1.0
"channel_contribution[2022-09-11T00:00:00.000000000, tv_spend]",0.015,0.015,0.0,0.041,0.0,0.0,1346.989,1098.004,1.0
"channel_contribution[2022-09-11T00:00:00.000000000, digital_spend]",0.009,0.009,0.0,0.023,0.0,0.0,1556.592,909.767,0.999
"channel_contribution[2022-09-11T00:00:00.000000000, social_spend]",0.033,0.022,0.0,0.07,0.001,0.0,796.67,946.45,1.002
"channel_contribution[2022-09-11T00:00:00.000000000, search_spend]",0.021,0.015,0.0,0.047,0.0,0.0,1149.332,1049.293,1.0
"channel_contribution[2022-09-11T00:00:00.000000000, radio_spend]",0.007,0.007,0.0,0.019,0.0,0.0,1549.505,1188.421,1.0
