"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","digital_spend",69.8614210347481,2207.6839636245,0.000280421514872955,21.2277304194664,0.000277796650649494,2207.6839636245,0.000280421514872955,21.2277304194664,0.000277796650649494,TRUE,0.279919317879686,0.279919317879686,9001.90346153846,936197.96,NA,NA,0.0664133083869801,0.0664133083869801,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,21.2277304194664,10678.6969578196,1676.79349628112,0.00235813797716938,0.00235813797716938,424.063396494026,424.063396494026,5,FALSE,0.00278017429727264,0.000354960096875055,7.86618585861833e-05,0.00549140311697876,0.111517089435012
"12","social_spend",230.012690031467,5551.04415103252,0.000705097394195665,53.3754245291589,0.000698497383761667,5551.04415103252,0.000705097394195665,53.3754245291589,0.000698497383761667,TRUE,0.123629892191629,0.123629892191629,3975.80403846154,413483.62,NA,NA,0.166990934004433,0.166990934004433,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,53.3754245291589,4983.31765322798,1007.51361476645,0.0134250642166491,0.0134250642166491,74.4875394160016,74.4875394160016,5,FALSE,0.021603461345643,0.00341780454027621,0,0.0477326516587352,0.141778266297783
"13","search_spend",206.276987548686,5216.40798673056,0.000662591681570581,50.1577691031785,0.000656389542620918,5216.40798673056,0.000662591681570581,50.1577691031785,0.000656389542620918,TRUE,0.0923196134107861,0.0923196134107861,2968.89923076923,308765.52,NA,NA,0.156924142224719,0.156924142224719,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,50.1577691031785,3875.43284137872,906.533610609488,0.0168943993057598,0.0168943993057598,59.1912137212876,59.1912137212876,5,FALSE,0.0155997380078758,0.00110236698245939,0.00719025230901965,0.0240001058682719,0.153578803789506
"14","radio_spend",146.255709684156,5718.72094133822,0.000726395813861387,54.9877013590214,0.000719596441192925,5718.72094133822,0.000726395813861387,54.9877013590214,0.000719596441192925,TRUE,0.0494500947304111,0.0494500947304111,1590.26173076923,165387.22,NA,NA,0.17203512083887,0.17203512083887,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,54.9877013590214,3635.762964378,2045.50123360877,0.0345777681089157,0.0345777681089157,28.9203165701767,28.9203165701767,5,FALSE,0.0328796115033426,0.00168979950588106,0.0200930048615548,0.0458605420704296,0.542540238055023
"15","nps_score",905.639490178587,53103.3273209046,0.00674522066449872,510.608916547159,0.00668208254041573,53103.3273209046,0.00674522066449872,510.608916547159,0.00668208254041573,TRUE,NA,NA,NA,NA,41.3673076923077,41.3673076923077,NA,NA,0.73465859036,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,"1_2_1",1,2,1,5,9,510.608916547159,63.7787340843714,22.4114263920637,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,0.439982641216816
"16","(Intercept)",74099.0167812457,7706297.74524956,0.980086053703005,74099.0167812457,0.969972857758998,7706297.74524956,0.980086053703005,74099.0167812457,0.969972857758998,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"17","trend",0.00927008906436931,68117.2484864577,0.00866314376437805,654.973543139016,0.00857375154208365,68117.2484864577,0.00866314376437805,654.973543139016,0.00857375154208365,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"18","season",0.0379064418379473,42.5449139012229,5.41085721691557e-06,0.409085710588682,5.35502430402699e-06,42.5449139012229,5.41085721691557e-06,0.409085710588682,5.35502430402699e-06,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"19","weekday",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"20","holiday",0.0229661384686064,-44.7103499862922,-5.68625712713444e-06,-1.86293124942884,-2.43861906177732e-05,-44.7103499862922,-5.68625712713444e-06,-1.86293124942884,-2.43861906177732e-05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"21","bounce_rate",-1740.89868189852,-82129.5066665857,-0.0104452211350188,0,0,-82129.5066665857,-0.0104452211350188,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"22","session_duration",2.08082059704719,39489.7716743496,0.00502230458274262,379.709343022592,0.00497048102077696,39489.7716743496,0.00502230458274262,379.709343022592,0.00497048102077696,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"23","pages_per_session",111.081311336298,40967.89843394,0.00521029257263996,393.922100326347,0.005156529222459,40967.89843394,0.00521029257263996,393.922100326347,0.005156529222459,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"24","conversion_rate",5176.43787938851,16887.0932939291,0.00214769856707964,162.375897057011,0.00212553714935976,16887.0932939291,0.00214769856707964,162.375897057011,0.00212553714935976,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"25","tv_spend",293.519480187014,13053.4985705553,0.00166014243466258,125.514409332262,0.00164301195344282,13053.4985705553,0.00166014243466258,125.514409332262,0.00164301195344282,TRUE,0.454681081787487,0.454681081787487,14622.0533653846,1520693.55,NA,NA,0.469696946410406,0.469696946410406,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,125.514409332262,34152.0910057167,19530.0376403321,0.00858391131504125,0.00858391131504126,116.497009731186,116.497009731186,3,FALSE,0.017828828344114,0.00346657250642256,0,0.048866789755562,0.600725055885314
"26","digital_spend",49.4325646450032,2156.66960204395,0.000274284989924177,20.7372077119611,0.000271454730441224,2156.66960204395,0.000274284989924177,20.7372077119611,0.000271454730441224,TRUE,0.279919317879686,0.279919317879686,9001.90346153846,936197.96,NA,NA,0.0776022704580647,0.0776022704580647,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,20.7372077119611,12930.2137496032,3928.31028806472,0.00230364697872654,0.00230364697872654,434.094290155865,434.094290155865,3,FALSE,0.0054948277518217,0.00225903774457911,0,0.0257599450028816,0.408863849700186
"27","social_spend",214.423245968848,4425.56344896407,0.000562842646299412,42.5534947015776,0.000557034852232592,4425.56344896407,0.000562842646299412,42.5534947015776,0.000557034852232592,TRUE,0.123629892191629,0.123629892191629,3975.80403846154,413483.62,NA,NA,0.15924264494216,0.15924264494216,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,42.5534947015776,5741.87239980876,1766.06836134722,0.0107031167255527,0.0107031167255527,93.4307291643933,93.4307291643933,3,FALSE,0.0176562101900024,0.00186502504814959,0.000881240958761097,0.0342696258900936,0.13009503481824
"28","search_spend",203.430190166419,4086.94074773952,0.000519776650420651,39.2975071898031,0.000514413240653761,4086.94074773952,0.000519776650420651,39.2975071898031,0.000514413240653761,TRUE,0.0923196134107861,0.0923196134107861,2968.89923076923,308765.52,NA,NA,0.147058168275561,0.147058168275561,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,39.2975071898031,3587.7259132335,618.826682464265,0.0132363896970734,0.0132363896970734,75.5493018025225,75.5493018025225,3,FALSE,0.0267321955906786,0.00236415858042375,0.00546745751064922,0.0477915200213474,0.0773894782727141
"29","radio_spend",194.478943067854,4068.64854584218,0.000517450250304311,39.1216206330979,0.000512110845919532,4068.64854584218,0.000517450250304311,39.1216206330979,0.000512110845919532,TRUE,0.0494500947304111,0.0494500947304111,1590.26173076923,165387.22,NA,NA,0.146399969913807,0.146399969913807,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,39.1216206330979,2893.15580548329,1302.89407471406,0.0246007433091999,0.0246007433092,40.6491782557655,40.6491782557655,3,FALSE,0.0546721266254218,0.0119690730305516,0,0.161872218477169,0.24090866427351
"30","nps_score",831.331575661926,45459.2832554891,0.0057815063734728,437.108492841241,0.00572184884994663,45459.2832554891,0.0057815063734728,437.108492841241,0.00572184884994663,TRUE,NA,NA,NA,NA,41.3673076923077,41.3673076923077,NA,NA,0.69150454508,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,"1_4_2",1,4,2,14,3,437.108492841241,60.4259186010555,19.0586109087478,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,0.393320105593135
"31","(Intercept)",74111.4481155812,7707590.60402045,0.980314045581386,74111.4481155812,0.966945876915532,7707590.60402045,0.980314045581386,74111.4481155812,0.966945876915532,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"32","trend",0.0054095419459002,39749.6842121084,0.00505568805382949,382.208502039504,0.00498674556450154,39749.6842121084,0.00505568805382949,382.208502039504,0.00498674556450154,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"33","season",0.0505516994820264,56.7375252791537,7.21633981359498e-06,0.545553127684171,7.11793334047234e-06,56.7375252791537,7.21633981359498e-06,0.545553127684171,7.11793334047234e-06,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"34","weekday",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"35","holiday",0.0310078258674562,-60.3658620600531,-7.67782118840488e-06,-2.51524425250221,-3.28168605692267e-05,-60.3658620600531,-7.67782118840488e-06,-2.51524425250221,-3.28168605692267e-05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"36","bounce_rate",-2308.34467763325,-108899.622684365,-0.0138507395061059,0,0,-108899.622684365,-0.0138507395061059,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"37","session_duration",2.77925169936873,52744.5831655858,0.00670848496786897,507.159453515248,0.0066170039175392,52744.5831655858,0.00670848496786897,507.159453515248,0.0066170039175392,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"38","pages_per_session",149.826156036905,55257.3846079709,0.00702808348759865,531.321005845875,0.00693224419417692,55257.3846079709,0.00702808348759865,531.321005845875,0.00693224419417692,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"39","conversion_rate",6872.31135105448,22419.541320545,0.00285149956467048,215.572512697548,0.00281261475290741,22419.541320545,0.00285149956467048,215.572512697548,0.00281261475290741,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,NA,NA,NA,NA,NA,NA,NA,5,FALSE,NA,NA,NA,NA,NA
"40","tv_spend",390.23345222098,19231.7269721159,0.00244604741483252,184.920451654961,0.00241269159936344,19231.7269721159,0.00244604741483252,184.920451654961,0.00241269159936344,TRUE,0.454681081787487,0.454681081787487,14622.0533653846,1520693.55,NA,NA,0.433177964209307,0.433177964209307,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,184.920451654961,28168.2784292949,13546.2250639102,0.0126466814908999,0.0126466814908999,79.0721266064588,79.0721266064588,5,FALSE,0.00945085208634296,0.00107263862262038,0.00130574073922274,0.0176622703297766,0.615358073911445
"41","digital_spend",98.5148280348834,3305.24997298632,0.000420388567470857,31.7812497402531,0.000414655888947604,3305.24997298632,0.000420388567470857,31.7812497402531,0.000414655888947604,TRUE,0.279919317879686,0.279919317879686,9001.90346153846,936197.96,NA,NA,0.0744478879393926,0.0744478879393926,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,31.7812497402531,11736.8589901702,2734.95552863175,0.00353050328478213,0.00353050328478212,283.245735618034,283.245735618034,5,FALSE,0.00278017429727264,0.000354960096875055,7.86618585861833e-05,0.00549140311697876,0.126672124819453
"42","social_spend",362.654132018005,11638.4095581625,0.00148026756275093,111.907784213101,0.00146008171869551,11638.4095581625,0.00148026756275093,111.907784213101,0.00146008171869551,TRUE,0.123629892191629,0.123629892191629,3975.80403846154,413483.62,NA,NA,0.262145077576685,0.262145077576685,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,111.907784213101,5402.04104171654,1426.23700325501,0.0281472082453049,0.0281472082453049,35.5275020984295,35.5275020984295,5,FALSE,0.021603461345643,0.00341780454027621,0,0.0477326516587352,0.24704249898138
"43","search_spend",275.697846684197,3824.13829967229,0.000486385004084023,36.770560573772,0.000479752357331236,3824.13829967229,0.000486385004084023,36.770560573772,0.000479752357331236,TRUE,0.0923196134107861,0.0923196134107861,2968.89923076923,308765.52,NA,NA,0.0861353972999245,0.0861353972999245,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,36.770560573772,3769.51724038465,800.618009615416,0.0123852504634335,0.0123852504634335,80.7412012338727,80.7412012338727,5,FALSE,0.0155997380078758,0.00110236698245939,0.00719025230901965,0.0240001058682719,0.0376683444997363
"44","radio_spend",209.038035810115,6397.3018159336,0.000813660863190078,61.5125174609,0.000802565280397037,6397.3018159336,0.000813660863190078,61.5125174609,0.000802565280397037,TRUE,0.0494500947304111,0.0494500947304111,1590.26173076923,165387.22,NA,NA,0.144093672974691,0.144093672974691,0.69883388234,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,"1_4_3",1,4,3,15,5,61.5125174609,3224.01942253075,1633.75769176151,0.038680750640428,0.038680750640428,25.8526523772998,25.8526523772998,5,FALSE,0.0328796115033426,0.00168979950588106,0.0200930048615548,0.0458605420704296,0.395101371502692
